Entry #,Date,Player Name,Team,Tile,Item Received
27,30/08/2026 06:00,PHZYQO,FIDDLSTCKS,Dagannoth Kings,Seercull
28,30/08/2026 07:00,GIMYNEWTRON,FIDDLSTCKS,Revenants,Ancient Emblem
29,30/08/2026 08:00,MELDYNOR,FIDDLSTCKS,Revenants,Ancient Totem
30,30/08/2026 09:00,UPDONG,FIDDLSTCKS,Revenants,Ancient Statuette
31,30/08/2026 10:00,50 TRAITS,FIDDLSTCKS,Revenants,Craw's Bow
32,30/08/2026 11:00,ERTHWERM GIM,FIDDLSTCKS,Theatre of Blood,Avernic Defender Hilt
33,30/08/2026 12:00,PHZYQO,FIDDLSTCKS,Theatre of Blood,Ghrazi Rapier
34,30/08/2026 13:00,GIMYNEWTRON,FIDDLSTCKS,Fortis Colosseum,Tonalztics of Ralos
35,30/08/2026 14:00,MELDYNOR,FIDDLSTCKS,Zenyte Shards,Zenyte Shard
36,30/08/2026 15:00,UPDONG,FIDDLSTCKS,Zenyte Shards,Zenyte Shard
37,30/08/2026 16:00,50 TRAITS,FIDDLSTCKS,Zenyte Shards,Zenyte Shard
38,30/08/2026 17:00,ERTHWERM GIM,FIDDLSTCKS,Zenyte Shards,Zenyte Shard
39,30/08/2026 18:00,PHZYQO,FIDDLSTCKS,Zenyte Shards,Zenyte Shard
40,30/08/2026 19:00,GIMYNEWTRON,FIDDLSTCKS,Zenyte Shards,Zenyte Shard
41,30/08/2026 20:00,MELDYNOR,FIDDLSTCKS,Royal Titans,Fire Element Staff Crown
42,30/08/2026 21:00,UPDONG,FIDDLSTCKS,Royal Titans,Fire Element Staff Crown
43,30/08/2026 22:00,50 TRAITS,FIDDLSTCKS,Royal Titans,Ice Element Staff Crown
44,30/08/2026 23:00,ERTHWERM GIM,FIDDLSTCKS,Royal Titans,Ice Element Staff Crown
45,31/08/2026 00:00,PHZYQO,FIDDLSTCKS,Barrows,Ahrim's Hood
46,31/08/2026 01:00,GIMYNEWTRON,FIDDLSTCKS,Barrows,Ahrim's Robetop
47,31/08/2026 02:00,MELDYNOR,FIDDLSTCKS,Barrows,Ahrim's Robeskirt
48,31/08/2026 03:00,UPDONG,FIDDLSTCKS,Barrows,Ahrim's Staff
49,31/08/2026 04:00,50 TRAITS,FIDDLSTCKS,Cerberus,Primordial Crystal
50,31/08/2026 05:00,ERTHWERM GIM,FIDDLSTCKS,Cerberus,Pegasian Crystal
51,31/08/2026 06:00,PHZYQO,FIDDLSTCKS,Cerberus,Eternal Crystal
52,31/08/2026 07:00,GIMYNEWTRON,FIDDLSTCKS,Mad Angel,Jar of Light
53,31/08/2026 08:00,MELDYNOR,FIDDLSTCKS,Voidwaker,Voidwaker Hilt
54,31/08/2026 09:00,UPDONG,FIDDLSTCKS,Voidwaker,Voidwaker Gem
55,31/08/2026 10:00,50 TRAITS,FIDDLSTCKS,Voidwaker,Voidwaker Blade
56,31/08/2026 11:00,ERTHWERM GIM,FIDDLSTCKS,Nightmare / PNM,Harmonised Orb
57,31/08/2026 12:00,PHZYQO,FIDDLSTCKS,Nightmare / PNM,Nightmare Staff
58,31/08/2026 13:00,GIMYNEWTRON,FIDDLSTCKS,Chambers of Xeric,Dexterous Prayer Scroll
59,31/08/2026 14:00,MELDYNOR,FIDDLSTCKS,Chambers of Xeric,Dragon Claws
60,31/08/2026 15:00,UPDONG,FIDDLSTCKS,Araxxor,Noxious point
61,31/08/2026 16:00,50 TRAITS,FIDDLSTCKS,Araxxor,Noxious blade
62,31/08/2026 17:00,ERTHWERM GIM,FIDDLSTCKS,Araxxor,Noxious pommel
63,31/08/2026 18:00,PHZYQO,FIDDLSTCKS,Desert Treasure 2,Baron
64,31/08/2026 19:00,GIMYNEWTRON,FIDDLSTCKS,Desert Treasure 2,Butch
65,31/08/2026 20:00,MELDYNOR,FIDDLSTCKS,Theatre of Blood,Scythe of Vitur
66,31/08/2026 21:00,UPDONG,FIDDLSTCKS,Doom of Mokhaiotl,Eye of Ayak
67,31/08/2026 22:00,50 TRAITS,FIDDLSTCKS,Doom of Mokhaiotl,Mokhaiotl Cloth
68,31/08/2026 23:00,ERTHWERM GIM,FIDDLSTCKS,Doom of Mokhaiotl,Avernic Treads
69,01/09/2026 00:00,50 TRAITS,FIDDLSTCKS,Inferno,Infernal Cape
70,01/09/2026 01:00,ERTHWERM GIM,FIDDLSTCKS,Inferno,Infernal Cape
71,01/09/2026 02:00,PHZYQO,FIDDLSTCKS,Inferno,Infernal Cape
72,01/09/2026 03:00,GIMYNEWTRON,FIDDLSTCKS,Yama,Oathplate Helm
73,01/09/2026 04:00,MELDYNOR,FIDDLSTCKS,Yama,Oathplate Chest
74,01/09/2026 05:00,UPDONG,FIDDLSTCKS,Yama,Oathplate Legs
75,01/09/2026 06:00,50 TRAITS,FIDDLSTCKS,Chambers of Xeric 2,Twisted Bow
76,01/09/2026 07:00,ERTHWERM GIM,FIDDLSTCKS,Tormented Demons,Tormented Synapse
77,01/09/2026 08:00,PHZYQO,FIDDLSTCKS,Tormented Demons,Burning Claw
78,01/09/2026 09:00,GIMYNEWTRON,FIDDLSTCKS,Tormented Demons,Tormented Synapse
79,01/09/2026 10:00,MELDYNOR,FIDDLSTCKS,Tormented Demons,Burning Claw
80,01/09/2026 11:00,UPDONG,FIDDLSTCKS,Tormented Demons,Tormented Synapse
81,01/09/2026 12:00,50 TRAITS,FIDDLSTCKS,Tormented Demons,Burning Claw
82,01/09/2026 13:00,ERTHWERM GIM,FIDDLSTCKS,Zulrah,Magma Mutagen
83,01/09/2026 14:00,PHZYQO,FIDDLSTCKS,Maggot King,Elder Venator Fang
84,01/09/2026 15:00,GIMYNEWTRON,FIDDLSTCKS,Maggot King,Elder Venator Fang
85,01/09/2026 16:00,MELDYNOR,FIDDLSTCKS,Maggot King,Crimson Kisten
86,01/09/2026 17:00,UPDONG,FIDDLSTCKS,Maggot King,Crimson Kisten
87,01/09/2026 18:00,50 TRAITS,FIDDLSTCKS,Tombs of Amascut 2,Tumeken's Shadow
88,01/09/2026 19:00,ERTHWERM GIM,FIDDLSTCKS,Corporeal Beast,Spirit Shield
89,01/09/2026 20:00,PHZYQO,FIDDLSTCKS,Corporeal Beast,Holy Elixir
90,01/09/2026 21:00,GIMYNEWTRON,FIDDLSTCKS,Corporeal Beast,Elysian Sigil
91,02/09/2026 00:00,ZEZIMOURR,REX IM,Tombs of Amascut,Osmumten's Fang
92,02/09/2026 01:00,NUCK FORMES,REX IM,Tombs of Amascut,Lightbearer
93,02/09/2026 02:00,BONX,REX IM,Nex,Zaryte Vambraces
94,02/09/2026 03:00,PAX E23,REX IM,Nex,Ancient Hilt
95,02/09/2026 04:00,ZEZIMOURR,REX IM,Hueycoatl,Dragon Hunter Wand
96,02/09/2026 05:00,AUTISM 2,REX IM,Hueycoatl,Hueycoatl Hide
97,02/09/2026 06:00,COOLER SUEDE,REX IM,Barrows,Dharok's Platebody
98,02/09/2026 07:00,NUCK FORMES,REX IM,Dagannoth Kings,Warrior Ring
99,02/09/2026 08:00,BONX,REX IM,God Wars Dungeon,Armadyl Chestplate
100,02/09/2026 09:00,PAX E23,REX IM,Zenyte Shards,Zenyte Shard
101,02/09/2026 10:00,ZEZIMOURR,REX IM,Revenants,Viggora's Chainmace
102,02/09/2026 11:00,AUTISM 2,REX IM,Vorkath,Draconic Visage
103,02/09/2026 12:00,COOLER SUEDE,REX IM,Theatre of Blood,Ghrazi Rapier
104,02/09/2026 13:00,NUCK FORMES,REX IM,Fortis Colosseum,Tonalztics of Ralos
105,02/09/2026 14:00,BONX,REX IM,Muspah,Venator Shard
106,02/09/2026 15:00,JAMINE2,STANJUUH,Gauntlet,Crystal Armour Seed
107,02/09/2026 16:00,THRAYGE,STANJUUH,Tombs of Amascut,Masori Mask
108,02/09/2026 17:00,GRP RYANMAN,STANJUUH,Tombs of Amascut,Masori Body
109,02/09/2026 18:00,RAWR X3C,STANJUUH,Nex,Torva Platebody
110,02/09/2026 19:00,ONLYSPOONED,STANJUUH,Nex,Ancient Hilt
111,02/09/2026 20:00,CHEF DERK,STANJUUH,Hueycoatl,Hueycoatl Hide
112,02/09/2026 21:00,JAMINE2,STANJUUH,Hueycoatl,Dragon Hunter Wand
113,02/09/2026 22:00,THRAYGE,STANJUUH,God Wars Dungeon,Zamorakian Spear
114,02/09/2026 23:00,CHEVAL GRAND,AOCL,Tombs of Amascut,Masori Body
115,03/09/2026 00:00,BRONZZR,AOCL,Tombs of Amascut,Masori Chaps
116,03/09/2026 01:00,42OFUNKMANG,AOCL,Nex,Ancient Hilt
117,03/09/2026 02:00,SMUSICIAN,MASELF,Tombs of Amascut,Lightbearer
