Entry #,Date,Player Name,Team,Tile,Item Received,Points,Awarded Points,Image,,,Team,Total Points,,,
53,20/02/2026,T ipsy,Team 3 - Toes of Amascut,Nex,Torva Platelegs,5,5,,2/20/2026,,,,,,
54,20/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/20/2026,,,,,,
55,20/02/2026,Tztok 8Incok,Team 4 - Juiced Up Jubblies,Shards,Crystal Weapon Seed,2,2,,2/20/2026,,,,,,
56,20/02/2026,madkip,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/20/2026,,,,,,
57,20/02/2026,phzyqo,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Slayer Misc,Abyssal Whip,2,2,,2/20/2026,,,,,,
58,20/02/2026,phzyqo,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Slayer Misc,Abyssal Whip,2,2,,2/20/2026,,,,,,
59,20/02/2026,DikzakNo51,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Barrows / Moons,Ahrim's Staff,1,1,,2/20/2026,,,,,,
60,20/02/2026,Sa lad,Team 1 - Ba-Ba's Big Banana Boys,Shards,Crystal Weapon Seed,2,2,,2/20/2026,,,,,,
61,20/02/2026,Usefu1,Team 1 - Ba-Ba's Big Banana Boys,Nex,Nexling,7,7,,2/20/2026,,,,,,
62,20/02/2026,Stronteter1,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Ahrim's Robeskirt,1,1,,2/20/2026,,,,,,
63,20/02/2026,Lorna Snore,Team 1 - Ba-Ba's Big Banana Boys,Doom of Mokhaiotl,Dom,5,5,,2/20/2026,,,,,,
64,20/02/2026,Ferrousbrett,Team 2 - Send Noots,Dagannoth Kings,Warrior's Ring,1,1,,2/20/2026,,,,,,
65,20/02/2026,Ferrousbrett,Team 2 - Send Noots,Dagannoth Kings,Mud Battlestaff,1,1,,2/20/2026,,,,,,
66,20/02/2026,Ferrousbrett,Team 2 - Send Noots,Dagannoth Kings,Mud Battlestaff,1,1,,2/20/2026,,,,,,
67,20/02/2026,DikzakNo51,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Barrows / Moons,Ahrim's Robeskirt,1,1,,2/20/2026,,,,,,
68,20/02/2026,K 4 D E,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Nex,Nexling,7,7,,2/20/2026,,,,,,
69,20/02/2026,DikzakNo51,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Barrows / Moons,Verac's Plateskirt,1,1,,2/20/2026,,,,,,
70,20/02/2026,stim city,Team 6 - Mulch Munchers,Barrows / Moons,Blue Moon Spear,1,1,,2/20/2026,,,,,,
71,20/02/2026,stim city,Team 6 - Mulch Munchers,Barrows / Moons,Dual Macuahuitl,1,1,,2/20/2026,,,,,,
72,20/02/2026,Iron Adiowa,Team 7 - #Zamn67uwu>:3xD,Tormented / Demonics,Zenyte Shard,2,2,,2/20/2026,,,,,,
73,20/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
74,20/02/2026,Wonky Dust,Team 7 - #Zamn67uwu>:3xD,Pharoah Sceptre / Blood Shard,Pharaoh's Sceptre,3,3,,2/20/2026,,,,,,
75,20/02/2026,Coleyo,Team 7 - #Zamn67uwu>:3xD,Colo / Inferno,Dizana's Quiver,1,1,,2/20/2026,,,,,,
76,20/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
77,20/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
78,20/02/2026,Updong,Team 7 - #Zamn67uwu>:3xD,Slayer Bosses,Belle's Folly,3,3,,2/20/2026,,,,,,
79,20/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,God Wars Dungeon,Godsword Shard 1,1,1,,2/20/2026,,,,,,
80,20/02/2026,Nebbzyyy,Team 4 - Juiced Up Jubblies,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
81,20/02/2026,Meldynoir,Team 4 - Juiced Up Jubblies,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
82,20/02/2026,Zexy Dan,Team 4 - Juiced Up Jubblies,Slayer Misc,Aranea Boots,1,1,,2/20/2026,,,,,,
83,20/02/2026,Ferrousbrett,Team 2 - Send Noots,Dagannoth Kings,Dragon Axe,1,1,,2/20/2026,,,,,,
84,20/02/2026,Zexy Dan,Team 4 - Juiced Up Jubblies,Slayer Misc,Aranea Boots,1,1,,2/20/2026,,,,,,
85,20/02/2026,Preau,Team 7 - #Zamn67uwu>:3xD,Barrows / Moons,Guthan's Chainskirt,1,1,,2/20/2026,,,,,,
86,20/02/2026,Tjob,Team 4 - Juiced Up Jubblies,Slayer Misc,Granite Maul,1,1,,2/20/2026,,,,,,
87,20/02/2026,ScumGIM,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/20/2026,,,,,,
88,20/02/2026,Ferrousbrett,Team 2 - Send Noots,Dagannoth Kings,Dragon Axe,1,1,,2/20/2026,,,,,,
89,20/02/2026,Ferrousbrett,Team 2 - Send Noots,Dagannoth Kings,Seercull,1,1,,2/20/2026,,,,,,
90,20/02/2026,Cmot,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Slayer Misc,Basilisk Jaw,7,7,,2/20/2026,,,,,,
91,20/02/2026,Sjieve,Team 2 - Send Noots,Zulrah,Tanzanite Fang,2,2,,2/20/2026,,,,,,
92,20/02/2026,Maself,Team 1 - Ba-Ba's Big Banana Boys,Nex,Torva Platelegs,5,5,,2/20/2026,,,,,,
93,20/02/2026,Meldynoir,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Berserker Ring,1,1,,2/20/2026,,,,,,
94,20/02/2026,aocl,Team 7 - #Zamn67uwu>:3xD,Tormented / Demonics,Zenyte Shard,2,2,,2/20/2026,,,,,,
95,20/02/2026,Zezimmour,Team 3 - Toes of Amascut,Slayer Misc,Warped Sceptre,5,5,,2/20/2026,,,,,,
96,21/02/2026,Erthwerm GIM,Team 6 - Mulch Munchers,Tormented / Demonics,Tormented Synapse,3,3,,2/21/2026,,,,,,
97,21/02/2026,madkip,Team 4 - Juiced Up Jubblies,Spider / Bear / Skeleton,Dragon 2h Sword,2,2,,2/21/2026,,,,,,
98,21/02/2026,Seraphs GIM,Team 3 - Toes of Amascut,Tormented / Demonics,Burning Claw,3,3,,2/21/2026,,,,,,
99,21/02/2026,Cory catfish,Team 6 - Mulch Munchers,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
100,21/02/2026,snuskfet,Team 1 - Ba-Ba's Big Banana Boys,Spider / Bear / Skeleton,Voidwaker Blade,3,3,,2/21/2026,,,,,,
101,21/02/2026,Nissassaah,Team 3 - Toes of Amascut,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
102,21/02/2026,LostAtSearme,Team 3 - Toes of Amascut,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
103,21/02/2026,Skull FE,Team 6 - Mulch Munchers,Zulrah,Tanzanite Fang,2,2,,2/21/2026,,,,,,
104,21/02/2026,Avusten,Team 4 - Juiced Up Jubblies,Spider / Bear / Skeleton,Treasonous Ring,3,3,,2/21/2026,,,,,,
105,21/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,Spider / Bear / Skeleton,Voidwaker Blade,3,3,,2/21/2026,,,,,,
106,21/02/2026,Zexy Dan,Team 4 - Juiced Up Jubblies,Spider / Bear / Skeleton,Dragon 2h Sword,2,2,,2/21/2026,,,,,,
107,21/02/2026,Gim retro s,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
108,21/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
109,21/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,DT2 Bosses,Chromium Ingot,3,3,,2/21/2026,,,,,,
110,21/02/2026,GIM_NH3,Team 3 - Toes of Amascut,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
111,21/02/2026,CASPERASKE ,Team 1 - Ba-Ba's Big Banana Boys,Nex,Torva Full Helm,5,5,,2/21/2026,,,,,,
112,21/02/2026,B0nx,Team 2 - Send Noots,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
113,21/02/2026,Iron speesh,Team 3 - Toes of Amascut,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
114,21/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,Spider / Bear / Skeleton,Dragon 2h Sword,2,2,,2/21/2026,,,,,,
115,21/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
116,21/02/2026,Avusten,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Archer's Ring,1,1,,2/21/2026,,,,,,
117,21/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
118,21/02/2026,Avusten,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Mud Battlestaff,1,1,,2/21/2026,,,,,,
119,21/02/2026,MooMussy,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Slayer Bosses,Hydra Leather,5,5,,2/21/2026,,,,,,
120,21/02/2026,GIMyNewtron,Team 6 - Mulch Munchers,DT2 Bosses,Blood Quartz,1,1,,2/21/2026,,,,,,
121,21/02/2026,Erthwerm GIM,Team 6 - Mulch Munchers,Tormented / Demonics,Tormented Synapse,3,3,,2/21/2026,,,,,,
122,21/02/2026,iz ky,Team 6 - Mulch Munchers,Chambers of Xeric,Dragon Hunter Crossbow,2,2,,2/21/2026,,,,,,
123,21/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
124,21/02/2026,CIA PKed JFK,Team 3 - Toes of Amascut,God Wars Dungeon,Armadyl Helmet,2,2,,2/21/2026,,,,,,
125,21/02/2026,Sa lad,Team 1 - Ba-Ba's Big Banana Boys,Dagannoth Kings,Mud Battlestaff,1,1,,2/21/2026,,,,,,
126,21/02/2026,Sa lad,Team 1 - Ba-Ba's Big Banana Boys,Dagannoth Kings,Dragon Axe,1,1,,2/21/2026,,,,,,
127,21/02/2026,Tztok 8Incok,Team 4 - Juiced Up Jubblies,Slayer Misc,Occult Necklace,2,2,,2/21/2026,,,,,,
128,21/02/2026,B0nx,Team 2 - Send Noots,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
129,21/02/2026,aocl,Team 7 - #Zamn67uwu>:3xD,Tormented / Demonics,Zenyte Shard,2,2,,2/21/2026,,,,,,
131,21/02/2026,Sa lad,Team 1 - Ba-Ba's Big Banana Boys,Dagannoth Kings,Dragon Axe,1,1,,2/21/2026,,,,,,
132,21/02/2026,CASPERASKE ,Team 1 - Ba-Ba's Big Banana Boys,Revenants / Wildy Shields,Ancient Totem,2,2,,2/21/2026,,,,,,
134,21/02/2026,Sa lad,Team 1 - Ba-Ba's Big Banana Boys,Dagannoth Kings,Dragon Axe,1,1,,2/21/2026,,,,,,
136,21/02/2026,Sa lad,Team 1 - Ba-Ba's Big Banana Boys,Dagannoth Kings,Dragon Axe,1,1,,2/21/2026,,,,,,
137,21/02/2026,Usefu1,Team 1 - Ba-Ba's Big Banana Boys,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
139,21/02/2026,Usefu1,Team 1 - Ba-Ba's Big Banana Boys,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
140,21/02/2026,Nissassaah,Team 3 - Toes of Amascut,Spider / Bear / Skeleton,Ring of the Gods,3,3,,2/21/2026,,,,,,
142,21/02/2026,CIA PKed JFK,Team 3 - Toes of Amascut,God Wars Dungeon,Bandos Boots,2,2,,2/21/2026,,,,,,
143,21/02/2026,Sjieve,Team 2 - Send Noots,Spider / Bear / Skeleton,Voidwaker Blade,3,3,,2/21/2026,,,,,,
144,21/02/2026,Tztok 8Incok,Team 4 - Juiced Up Jubblies,Slayer Bosses,Eternal Crystal,3,3,,2/21/2026,,,,,,
145,21/02/2026,Meldynoir,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Seercull,1,1,,2/21/2026,,,,,,
147,21/02/2026,Whipyyy,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
148,21/02/2026,Avusten,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
150,21/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
151,21/02/2026,Meldynoir,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Dragon Axe,1,1,,2/21/2026,,,,,,
152,21/02/2026,GIM Retro J,Team 4 - Juiced Up Jubblies,Spider / Bear / Skeleton,Fangs of Venenatis,1,1,,2/21/2026,,,,,,
154,21/02/2026,Allagash,Team 2 - Send Noots,Spider / Bear / Skeleton,Dragon Pickaxe,2,2,,2/21/2026,,,,,,
156,21/02/2026,CASPERASKE ,Team 1 - Ba-Ba's Big Banana Boys,Revenants / Wildy Shields,Ancient Crystal,3,3,,2/21/2026,,,,,,
158,21/02/2026,Nissassaah,Team 3 - Toes of Amascut,Spider / Bear / Skeleton,Dragon 2h Sword,2,2,,2/21/2026,,,,,,
159,21/02/2026,Zezimmour,Team 3 - Toes of Amascut,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
161,21/02/2026,cheval grand,Team 6 - Mulch Munchers,Nightmare / PNM,Inquisitor's Hauberk,5,5,,2/21/2026,,,,,,
163,21/02/2026,Shad IM,Team 6 - Mulch Munchers,Slayer Bosses,Pegasian Crystal,3,3,,2/21/2026,,,,,,
164,21/02/2026,EdmondBanks,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dragons,Hueycoatl Hide,1,1,,2/21/2026,,,,,,
165,21/02/2026,Zexy Dan,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Dragon Axe,1,1,,2/21/2026,,,,,,
166,21/02/2026,Meldynoir,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Warrior's Ring,1,1,,2/21/2026,,,,,,
167,21/02/2026,Demon Dic,Team 4 - Juiced Up Jubblies,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
168,21/02/2026,Kep,Team 6 - Mulch Munchers,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
169,21/02/2026,Maself,Team 1 - Ba-Ba's Big Banana Boys,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
171,21/02/2026,Zezimmour,Team 3 - Toes of Amascut,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
172,21/02/2026,Chesto Berry,Team 1 - Ba-Ba's Big Banana Boys,Slayer Bosses,Eternal Crystal,3,3,,2/21/2026,,,,,,
174,21/02/2026,Iron Thrage,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Slayer Misc,Occult Necklace,2,2,,2/21/2026,,,,,,
175,21/02/2026,GIM_NH3,Team 3 - Toes of Amascut,Spider / Bear / Skeleton,Dragon 2h Sword,2,2,,2/21/2026,,,,,,
176,21/02/2026,Zezimmour,Team 3 - Toes of Amascut,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
177,21/02/2026,Seraphs GIM,Team 3 - Toes of Amascut,Spider / Bear / Skeleton,Ring of the Gods,3,3,,2/21/2026,,,,,,
179,21/02/2026,king Ovu,Team 2 - Send Noots,God Wars Dungeon,Zamorakian Spear,1,1,,2/21/2026,,,,,,
180,21/02/2026,Maself,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Torag's Helm,1,1,,2/21/2026,,,,,,
181,21/02/2026,CIA PKed JFK,Team 3 - Toes of Amascut,Dagannoth Kings,Warrior's Ring,1,1,,2/21/2026,,,,,,
182,21/02/2026,GIM Chibbi,Team 2 - Send Noots,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
183,21/02/2026,CIA PKed JFK,Team 3 - Toes of Amascut,Dagannoth Kings,Mud Battlestaff,1,1,,2/21/2026,,,,,,
184,21/02/2026,Avusten,Team 4 - Juiced Up Jubblies,Slayer Misc,Warped Sceptre,5,0,,2/21/2026,,,,,,
185,21/02/2026,Zexy Dan,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Berserker Ring,1,1,,2/21/2026,,,,,,
187,21/02/2026,Meldynoir,Team 4 - Juiced Up Jubblies,God Wars Dungeon,Bandos Chestplate,2,2,,2/21/2026,,,,,,
189,21/02/2026,Tztok 8Incok,Team 4 - Juiced Up Jubblies,Shards,Crystal Weapon Seed,2,2,,2/21/2026,,,,,,
190,21/02/2026,Seraphs GIM,Team 3 - Toes of Amascut,Spider / Bear / Skeleton,Voidwaker Blade,3,3,,2/21/2026,,,,,,
192,21/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dagannoth Kings,Seer's Ring,1,1,,2/21/2026,,,,,,
193,21/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dagannoth Kings,Seercull,1,1,,2/21/2026,,,,,,
194,21/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Slayer Bosses,Unsired,1,1,,2/21/2026,,,,,,
196,21/02/2026,Avusten,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Mud Battlestaff,1,1,,2/21/2026,,,,,,
197,21/02/2026,Osmussy,Team 3 - Toes of Amascut,Slayer Misc,Warped Sceptre,5,5,,2/21/2026,,,,,,
198,21/02/2026,Avusten,Team 4 - Juiced Up Jubblies,Spider / Bear / Skeleton,Dragon Pickaxe,2,2,,2/21/2026,,,,,,
199,21/02/2026,Cory catfish,Team 6 - Mulch Munchers,Tormented / Demonics,Light Frame,2,2,,2/21/2026,,,,,,
201,21/02/2026,Yezrail55,Team 7 - #Zamn67uwu>:3xD,Tormented / Demonics,Zenyte Shard,2,2,,2/21/2026,,,,,,
203,21/02/2026,Fiddlestcks,Team 6 - Mulch Munchers,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
204,21/02/2026,Meldynoir,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Dragon Axe,1,1,,2/21/2026,,,,,,
205,21/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dagannoth Kings,Warrior's Ring,1,1,,2/21/2026,,,,,,
207,21/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dagannoth Kings,Dragon Axe,1,1,,2/21/2026,,,,,,
208,21/02/2026,Bronzzr,Team 7 - #Zamn67uwu>:3xD,Barrows / Moons,Torag's Platelegs,1,1,,2/21/2026,,,,,,
209,21/02/2026,Whipyyy,Team 4 - Juiced Up Jubblies,Spider / Bear / Skeleton,Dragon Pickaxe,2,2,,2/21/2026,,,,,,
211,21/02/2026,CASPERASKE ,Team 1 - Ba-Ba's Big Banana Boys,Slayer Bosses,Primordial Crystal,3,3,,2/21/2026,,,,,,
213,21/02/2026,GIMyNewtron,Team 6 - Mulch Munchers,DT2 Bosses,Blood Quartz,1,1,,2/21/2026,,,,,,
