Entry #,Date,Player Name,Team,Tile,Item Received
105,12/09/2026 14:23,CASPERASKE,Team 3 - Gnome Ball Ballers Kittens uwu,Cerberus,Primordial Crystal
106,12/09/2026 19:48,Updong,Team 1 - Fiddlestcks Flight Attendants,God Wars Dungeon,Zamorakian Spear
107,12/09/2026 19:48,Bussy Rooter,Team 1 - Fiddlestcks Flight Attendants,Barrows,Torag's Platelegs
108,12/09/2026 19:49,NoopersWoz,Team 1 - Fiddlestcks Flight Attendants,God Wars Dungeon,Armadyl Chestplate
109,12/09/2026 19:49,NoopersWoz,Team 1 - Fiddlestcks Flight Attendants,God Wars Dungeon,Godsword Shard 1
110,12/09/2026 19:50,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Muspah,Venator Shard
111,12/09/2026 19:50,Fiddlestcks,Team 1 - Fiddlestcks Flight Attendants,Fortis Colosseum,Echo Crystal
112,12/09/2026 19:51,Nebbzyyy,Team 2 - The Bapstreet Boys,God Wars Dungeon,Godsword Shard 2
113,12/09/2026 19:52,Vilcann,Team 2 - The Bapstreet Boys,Cerberus,Primordial Crystal
114,12/09/2026 19:52,Chesto Berry,Team 2 - The Bapstreet Boys,Barrows,Dharok's Helm
115,12/09/2026 19:52,Chesto Berry,Team 2 - The Bapstreet Boys,Barrows,Ahrim's Robeskirt
116,12/09/2026 19:53,Vilcann,Team 2 - The Bapstreet Boys,Cerberus,Pegasian Crystal
117,12/09/2026 19:53,Chinchi37,Team 2 - The Bapstreet Boys,Barrows,Verac's Brassard
118,12/09/2026 19:54,Chinchi37,Team 2 - The Bapstreet Boys,Barrows,Ahrim's Robetop
119,12/09/2026 19:55,CASPERASKE,Team 3 - Gnome Ball Ballers Kittens uwu,Dagannoth Kings,Mud Battlestaff
120,12/09/2026 19:56,Tired Dev,Team 3 - Gnome Ball Ballers Kittens uwu,God Wars Dungeon,Steam Battlestaff
121,12/09/2026 20:01,Iron Adiowa,Team 3 - Gnome Ball Ballers Kittens uwu,Muspah,Venator Shard
122,12/09/2026 20:03,Tashikan,Team 3 - Gnome Ball Ballers Kittens uwu,Muspah,Venator Shard
123,12/09/2026 20:04,MrBorreby,Team 4 - Team Lizard,Barrows,Verac's Helm
124,12/09/2026 20:04,BarlowBVB,Team 4 - Team Lizard,Revenants,Ancient Totem
125,12/09/2026 20:05,Stanjuuh,Team 4 - Team Lizard,Barrows,Verac's Brassard
126,12/09/2026 20:05,Shad IM,Team 4 - Team Lizard,Barrows,Dharok's Helm
127,12/09/2026 20:06,Shad IM,Team 4 - Team Lizard,Barrows,Karil's Leathertop
128,12/09/2026 20:06,Thrayge,Team 4 - Team Lizard,Barrows,Karil's Leatherskirt
129,12/09/2026 20:06,Shad IM,Team 4 - Team Lizard,Barrows,Torag's Helm
130,12/09/2026 20:07,Thrayge,Team 4 - Team Lizard,Barrows,Karil's Coif
131,12/09/2026 20:07,Jamine2,Team 4 - Team Lizard,Revenants,Ancient Effigy
132,12/09/2026 20:07,Shad IM,Team 4 - Team Lizard,Barrows,Ahrim's Robeskirt
133,12/09/2026 20:08,Thrayge,Team 4 - Team Lizard,Barrows,Verac's Flail
134,12/09/2026 20:08,Thrayge,Team 4 - Team Lizard,Barrows,Ahrim's Hood
135,12/09/2026 20:08,Noob-e,Team 4 - Team Lizard,Mad Angel,Hallowfell
136,12/09/2026 20:09,Shad IM,Team 4 - Team Lizard,Barrows,Dharok's Platelegs
137,12/09/2026 20:09,BarlowBVB,Team 4 - Team Lizard,Revenants,Viggora's Chainmace
138,12/09/2026 20:09,Abbezen two,Team 4 - Team Lizard,Barrows,Torag's Platebody
139,12/09/2026 20:09,Xaniix,Team 4 - Team Lizard,Dagannoth Kings,Berserker Ring
140,12/09/2026 20:10,RIleyStoned,Team 4 - Team Lizard,Cerberus,Eternal Crystal
141,12/09/2026 20:11,Cartoon19F3,Team 5 - The Rextards,Barrows,Guthan's Helm
142,12/09/2026 20:11,Autism 2,Team 5 - The Rextards,Muspah,Venator Shard
143,12/09/2026 20:12,K 4 D E,Team 5 - The Rextards,God Wars Dungeon,Armadyl Crossbow
144,12/09/2026 20:13,zezimmour,Team 5 - The Rextards,Vorkath,300 Kill Count
145,12/09/2026 20:13,K 4 D E,Team 5 - The Rextards,Muspah,Venator Shard
146,12/09/2026 20:32,GIM Retro J,Team 1 - Fiddlestcks Flight Attendants,Cerberus,Smouldering Stone
147,12/09/2026 20:32,Pvt Merf,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Guthan's Platebody
148,12/09/2026 20:39,EX M0bileuim,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Ahrim's Robeskirt
149,12/09/2026 20:40,CASPERASKE,Team 3 - Gnome Ball Ballers Kittens uwu,Dagannoth Kings,Seers Ring
150,12/09/2026 20:41,Kobe Kenobi,Team 3 - Gnome Ball Ballers Kittens uwu,Royal Titans,Fire Element Staff Crown
151,12/09/2026 20:41,T ipsy,Team 2 - The Bapstreet Boys,God Wars Dungeon,Godsword Shard 1
152,12/09/2026 20:42,Autism 2,Team 5 - The Rextards,Barrows,Verac's Plateskirt
153,12/09/2026 20:43,Cartoon19F3,Team 5 - The Rextards,Barrows,Verac's Flail
154,12/09/2026 20:46,So Far To Go,Team 2 - The Bapstreet Boys,God Wars Dungeon,Godsword Shard 3
155,12/09/2026 20:50,Cartoon19F3,Team 5 - The Rextards,Barrows,Torag's Helm
156,12/09/2026 21:02,Cartoon19F3,Team 5 - The Rextards,Barrows,Ahrim's Robeskirt
157,12/09/2026 21:18,Xaniix,Team 4 - Team Lizard,God Wars Dungeon,Saradomin Sword
158,12/09/2026 21:20,BarlowBVB,Team 4 - Team Lizard,God Wars Dungeon,Godsword Shard 3
159,12/09/2026 22:39,GIM Retro S,Team 1 - Fiddlestcks Flight Attendants,Barrows,Verac's Flail
160,12/09/2026 22:40,Iron Hatred,Team 2 - The Bapstreet Boys,Barrows,Dharok's Platebody
161,12/09/2026 22:40,Stanjuuh,Team 4 - Team Lizard,Mad Angel,Hallowfell
162,12/09/2026 22:41,Chesto Berry,Team 2 - The Bapstreet Boys,Barrows,Dharok's Platelegs
163,12/09/2026 22:42,K 4 D E,Team 5 - The Rextards,Muspah,Venator Shard
164,12/09/2026 22:43,Nuck Formies,Team 5 - The Rextards,Fortis Colosseum,Sunfire Fanatic Helm
165,12/09/2026 22:43,Cartoon19F3,Team 5 - The Rextards,Barrows,Karil's Leatherskirt
166,12/09/2026 23:00,MrBorreby,Team 4 - Team Lizard,Revenants,Ancient Emblem
167,13/09/2026 00:03,GIM NH3,Team 5 - The Rextards,Royal Titans,Ice Element Staff Crown
168,13/09/2026 00:04,EdmondBanks,Team 5 - The Rextards,Zenyte Shards,Zenyte Shard
169,13/09/2026 00:04,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Barrows,Guthan's Chainskirt
170,13/09/2026 00:05,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Zenyte Shards,Zenyte Shard
171,13/09/2026 00:05,So Far To Go,Team 2 - The Bapstreet Boys,Dagannoth Kings,Seercull
172,13/09/2026 00:06,Snusician,Team 2 - The Bapstreet Boys,Dagannoth Kings,Dragon Axe
173,13/09/2026 00:06,So Far To Go,Team 2 - The Bapstreet Boys,Dagannoth Kings,Berserker Ring
174,13/09/2026 00:08,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Ahrim's Hood
175,13/09/2026 00:10,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Guthan's Chainskirt
176,13/09/2026 00:11,MrBorreby,Team 4 - Team Lizard,Fortis Colosseum,Sunfire Fanatic Chausses
177,13/09/2026 00:11,MrBorreby,Team 4 - Team Lizard,Fortis Colosseum,Sunfire Fanatic Chausses
178,13/09/2026 00:12,MrBorreby,Team 4 - Team Lizard,Fortis Colosseum,Sunfire Fanatic Cuirass
179,13/09/2026 00:13,Nuck Formies,Team 5 - The Rextards,Fortis Colosseum,Echo Crystal
180,13/09/2026 00:18,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Dharok's Platelegs
181,13/09/2026 00:21,EdmondBanks,Team 5 - The Rextards,Barrows,Dharok's Platebody
182,13/09/2026 00:21,Snusician,Team 2 - The Bapstreet Boys,Dagannoth Kings,Warrior Ring
183,13/09/2026 00:23,CASPERASKE,Team 3 - Gnome Ball Ballers Kittens uwu,Dagannoth Kings,Archers Ring
184,13/09/2026 00:46,So Far To Go,Team 2 - The Bapstreet Boys,Dagannoth Kings,Mud Battlestaff
185,13/09/2026 00:47,Arklites,Team 3 - Gnome Ball Ballers Kittens uwu,Zenyte Shards,Zenyte Shard
186,13/09/2026 00:48,EX M0bileuim,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Dharok's Platebody
187,13/09/2026 00:48,EdmondBanks,Team 5 - The Rextards,Barrows,Guthan's Chainskirt
188,13/09/2026 00:55,Arklites,Team 3 - Gnome Ball Ballers Kittens uwu,Zenyte Shards,Zenyte Shard
189,13/09/2026 02:44,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Barrows,Ahrim's Hood
190,13/09/2026 02:44,IMZICKIO,Team 2 - The Bapstreet Boys,Theatre of Blood,Justiciar Legguards
191,13/09/2026 02:45,IMZICKIO,Team 2 - The Bapstreet Boys,Barrows,Torag's Hammers
192,13/09/2026 02:46,Maself,Team 2 - The Bapstreet Boys,Barrows,Karil's Leatherskirt
193,13/09/2026 02:46,Maself,Team 2 - The Bapstreet Boys,Barrows,Karil's Crossbow
194,13/09/2026 02:47,IMZICKIO,Team 2 - The Bapstreet Boys,Barrows,Guthan's Helm
195,13/09/2026 02:47,Chesto Berry,Team 2 - The Bapstreet Boys,Cerberus,Eternal Crystal
196,13/09/2026 02:48,tsukitten,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Karil's Coif
197,13/09/2026 02:49,cheval grand,Team 3 - Gnome Ball Ballers Kittens uwu,God Wars Dungeon,Armadyl Helmet
198,13/09/2026 02:50,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Zenyte Shards,Zenyte Shard
199,13/09/2026 02:50,CASPERASKE,Team 3 - Gnome Ball Ballers Kittens uwu,God Wars Dungeon,Bandos Tassets
200,13/09/2026 02:52,Noob-e,Team 4 - Team Lizard,Barrows,Guthan's Helm
201,13/09/2026 02:53,Nuck Formies,Team 5 - The Rextards,Fortis Colosseum,Sunfire Fanatic Chausses
202,13/09/2026 03:09,50 Traits,Team 1 - Fiddlestcks Flight Attendants,Barrows,Karil's Leatherskirt
203,13/09/2026 03:24,Cartoon19F3,Team 5 - The Rextards,Barrows,Dharok's Platelegs
204,13/09/2026 03:28,tsukitten,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Torag's Hammers
205,13/09/2026 03:33,IMZICKIO,Team 2 - The Bapstreet Boys,Barrows,Torag's Platebody
206,13/09/2026 03:35,tsukitten,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Guthan's Warspear
207,13/09/2026 03:45,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Karil's Leathertop
208,13/09/2026 03:48,Nebbzyyy,Team 2 - The Bapstreet Boys,Mad Angel,Hallowfell
209,13/09/2026 03:56,IMZICKIO,Team 2 - The Bapstreet Boys,Barrows,Guthan's Chainskirt
210,13/09/2026 09:13,RyuTheGrump,Team 1 - Fiddlestcks Flight Attendants,Muspah,Venator Shard
211,13/09/2026 09:13,Updong,Team 1 - Fiddlestcks Flight Attendants,Barrows,Dharok's Greataxe
212,13/09/2026 09:14,GIM Retro J,Team 1 - Fiddlestcks Flight Attendants,Theatre of Blood,Sanguinesti Staff
213,13/09/2026 09:14,GIMyNewtron,Team 1 - Fiddlestcks Flight Attendants,Barrows,Ahrim's Robeskirt
214,13/09/2026 09:15,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Barrows,Dharok's Platebody
215,13/09/2026 09:15,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Barrows,Verac's Brassard
216,13/09/2026 09:17,IMZICKIO,Team 2 - The Bapstreet Boys,Barrows,Ahrim's Staff
217,13/09/2026 09:17,IMZICKIO,Team 2 - The Bapstreet Boys,Barrows,Dharok's Helm
218,13/09/2026 09:18,IMZICKIO,Team 2 - The Bapstreet Boys,Barrows,Ahrim's Hood
219,13/09/2026 09:19,Sa lad,Team 2 - The Bapstreet Boys,Muspah,Venator Shard
220,13/09/2026 09:20,Maself,Team 2 - The Bapstreet Boys,Revenants,Ancient Totem
221,13/09/2026 09:21,EX M0bileuim,Team 3 - Gnome Ball Ballers Kittens uwu,God Wars Dungeon,Saradomin Hilt
222,13/09/2026 09:22,aocl,Team 3 - Gnome Ball Ballers Kittens uwu,Muspah,Venator Shard
223,13/09/2026 09:23,Pvt Peach,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Torag's Platelegs
224,13/09/2026 09:24,Pvt Peach,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Verac's Flail
225,13/09/2026 09:24,Pvt Peach,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Ahrim's Robetop
226,13/09/2026 09:24,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Dagannoth Kings,Berserker Ring
227,13/09/2026 09:25,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Zenyte Shards,Zenyte Shard
228,13/09/2026 09:25,420funkman69,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Karil's Crossbow
229,13/09/2026 09:26,tsukitten,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Dharok's Platebody
230,13/09/2026 09:29,OnlySpooned,Team 4 - Team Lizard,God Wars Dungeon,Bandos Chestplate
231,13/09/2026 09:27,Jmochi,Team 4 - Team Lizard,Barrows,Guthan's Chainskirt
232,13/09/2026 09:30,Thrayge,Team 4 - Team Lizard,God Wars Dungeon,Zamorakian Spear
233,13/09/2026 09:30,MrBorreby,Team 4 - Team Lizard,Fortis Colosseum,Sunfire Fanatic Helm
234,13/09/2026 09:31,Jamine2,Team 4 - Team Lizard,Cerberus,Pegasian Crystal
235,13/09/2026 09:31,tsukitten,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Ahrim's Staff
236,13/09/2026 09:32,powerniao,Team 3 - Gnome Ball Ballers Kittens uwu,Barrows,Torag's Helm
237,13/09/2026 09:32,MrBorreby,Team 4 - Team Lizard,Fortis Colosseum,Echo Crystal
238,13/09/2026 09:32,B0NX,Team 5 - The Rextards,Muspah,Venator Shard
239,13/09/2026 09:38,zezimmour,Team 5 - The Rextards,Fortis Colosseum,Sunfire Fanatic Helm
240,13/09/2026 09:49,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Revenants,Craw's Bow
241,13/09/2026 10:35,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Zenyte Shards,Zenyte Shard
242,13/09/2026 11:05,Wonky Dust,Team 4 - Team Lizard,God Wars Dungeon,Godsword Shard 1
243,13/09/2026 11:07,Maself,Team 2 - The Bapstreet Boys,Revenants,Ancient Emblem
244,13/09/2026 11:08,Pvt Peach,Team 3 - Gnome Ball Ballers Kittens uwu,Vorkath,300 Kill Count
245,13/09/2026 11:08,zezimmour,Team 5 - The Rextards,Fortis Colosseum,Echo Crystal
246,13/09/2026 11:16,MrBorreby,Team 4 - Team Lizard,Theatre of Blood,Avernic Defender
247,13/09/2026 11:16,Autism 2,Team 5 - The Rextards,Barrows,Verac's Helm
248,13/09/2026 11:17,So Far To Go,Team 2 - The Bapstreet Boys,Dagannoth Kings,Archers Ring
249,13/09/2026 11:18,Tashikan,Team 3 - Gnome Ball Ballers Kittens uwu,Muspah,Venator Shard
250,13/09/2026 11:30,50 Traits,Team 1 - Fiddlestcks Flight Attendants,Fortis Colosseum,Tonalztics of Ralos
251,13/09/2026 11:36,Xaniix,Team 4 - Team Lizard,Barrows,Dharok's Platebody
252,13/09/2026 11:36,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Zenyte Shards,Zenyte Shard
253,13/09/2026 12:26,Arklites,Team 3 - Gnome Ball Ballers Kittens uwu,Zenyte Shards,Zenyte Shard
254,13/09/2026 12:48,grp ryanman,Team 4 - Team Lizard,Mad Angel,Hallowfell
255,13/09/2026 13:02,K 4 D E,Team 5 - The Rextards,Zenyte Shards,Zenyte Shard
256,13/09/2026 13:16,Iron Boi Ed,Team 2 - The Bapstreet Boys,Zenyte Shards,Zenyte Shard
257,13/09/2026 13:30,Iron Hatred,Team 2 - The Bapstreet Boys,Mad Angel,Hallowfell
